mesh_descriptor_ui,mesh_descriptor
D007884,"Legislation, Nursing"
D054497,"Phospholipases A2, Secretory"
D051638,Ether-A-Go-Go Potassium Channels
D000075163,Metallocenes
D006793,Houseflies
D065310,Squamous Intraepithelial Lesions of the Cervix
D015392,"Chemistry, Inorganic"
D000097122,DNA Damage Tolerance
D065166,Sepsis-Associated Encephalopathy
D013517,Otorhinolaryngologic Surgical Procedures
D054480,Thioredoxin h
D011237,Predictive Value of Tests
D003518,Cyclopenthiazide
D006713,Homogentisic Acid
D007654,Ketoconazole
D014643,"Variant Surface Glycoproteins, Trypanosoma"
D056189,Viral Tropism
D009029,Mosaic Viruses
D000068258,Bevacizumab
D000077206,Gabapentin
D000077465,Cabergoline
D032382,Grewia
D012898,Autacoids
D013070,Speech Therapy
D001441,Bacteroides fragilis
D009170,Nontuberculous Mycobacteria
D006369,Heligmosomatoidea
D015070,18-Hydroxydesoxycorticosterone
D000074868,Salpingo-oophorectomy
D000516,alpha-Amylases
D000074440,Fascism
D015402,Nursing Education Research
D038223,Post-Concussion Syndrome
D026122,Factor XIIIa
D010685,"Philosophy, Dental"
D000092682,Motion Capture
D064696,Zuclomiphene
D065831,Nuns
D057077,Varroidae
D000715,Anatomy
D002130,Calcium Phosphates
D000066888,"Diet, Food, and Nutrition"
D004886,Erysipelas
D010933,Plankton
D013762,Tetrahydrofolate Dehydrogenase
D004222,Disulfoton
D008407,Mast Cells
D000184,Acting Out
D003733,Dental Caries Susceptibility
D015590,Fluorophotometry
D010845,Obesity Hypoventilation Syndrome
D011122,Polyphosphates
D002210,Caprylates
D010470,Perceptual Masking
D049590,Postpartum Period
D001047,Apicoectomy
D001595,Benzylamine Oxidase
D054626,Consumer Health Information
D000097902,beta Lactam Antibiotics
D055166,Hepatic Stellate Cells
D016134,Organizational Policy
D014251,Trichostrongyloidea
D062786,Junctional Adhesion Molecule C
D002885,"Chromosomes, Human, Pair 16"
D053280,Diynes
D002861,Chromobacterium
D050764,Cyclin-Dependent Kinase Inhibitor p19
D012377,Rodentia
D012566,Sizofiran
D003220,"Conflict, Psychological"
D055271,Mucin 5AC
D001517,Coleoptera
D017630,Connexins
D006376,Helminths
D014741,Video Recording
D003187,Compliance
D012492,Salts
D052276,"Creatine Kinase, BB Form"
D055549,Volatile Organic Compounds
D003669,Deductibles and Coinsurance
D000964,"Antimetabolites, Antineoplastic"
D031427,Narcissus
D065926,"Influenza A Virus, H10N8 Subtype"
D012079,Renal Circulation
D018437,Brown-Sequard Syndrome
D020283,"Photoreceptors, Microbial"
D013700,Giant Cell Arteritis
D020211,Autonomic Dysreflexia
D017852,Phosphotransferases (Nitrogenous Group Acceptor)
D003265,Contingent Negative Variation
D048550,Hepatic Insufficiency
D016942,Sulfolobales
D000162,Acoustics
D005627,Frostbite
D019071,Persia
D042501,Angiogenic Proteins
D036582,Rudbeckia
D013964,Thyroid Neoplasms
D034904,Lamin Type A
D009267,Naled
D000080311,Synesthesia
D001346,Autosuggestion
D031665,Oenothera biennis
D014593,Uterine Inertia
D007797,Laminin
D010964,Plasmodium gallinaceum
D000787,Angina Pectoris
D060425,Cerebral Phaeohyphomycosis
D006127,Group Structure
D017298,Bisoprolol
D009469,Neuromuscular Junction
D013534,Survival
D035182,TATA Box Binding Protein-Like Proteins
D005036,Ethylmorphine
D000483,Alleles
D042863,Cyclin-Dependent Kinase 9
D015146,Midwestern United States
D000072481,DNA Ligase ATP
D000075383,S100 Calcium Binding Protein A6
D002280,"Carcinoma, Basal Cell"
D013124,Spinal Injuries
D014470,Umbilical Cord
D051224,Capitate Bone
D000077590,Mivacurium
D011155,Population Control
D009454,Neurofibrils
D031292,Clitoria
D058670,Tetrasomy
D049911,Pinctada
D020901,Kava
D000086882,Coronavirus Papain-Like Proteases
D000198,Spectinomycin
D057925,Femoracetabular Impingement
D003469,Culture
D006943,Hyperglycemia
D002030,Bulbourethral Glands
D013388,Succinimides
D057208,Health Level Seven
D004311,Double-Blind Method
D060965,Clonal Evolution
D016712,Mupirocin
D000982,Antipruritics
D006526,Hepatitis C
D055806,Microvessels
D020261,Arsenic Poisoning
D008433,Mathematics
D041061,Ehrlichia canis
D016622,Silver Staining
D004642,Emodin
D013179,Spouse Abuse
D044785,Cryptophyta
D045991,Felis
D004970,Estrone
D057070,Cervical Rib
D000096703,Cold Urticaria
D000085022,Surgical Navigation Systems
D051880,"Receptors, Notch"
D054140,Refractive Surgical Procedures
D055398,Bone Morphogenetic Protein 3
D027701,Organic Cation Transport Proteins
D017337,Sermorelin
D051664,Kv1.3 Potassium Channel
D000673,"Amputation, Traumatic"
D005690,Galactose
D029765,Combretum
D054736,Elongation Factor 2 Kinase
D015051,Zygomatic Fractures
D013402,Sugar Alcohols
D045969,Mustelidae
D064872,Patient Care Bundles
D045245,Rhodothermus
D007854,Lead
D019218,Erythrovirus
D017891,Pharmacoepidemiology
D041321,"Chromosomes, Human, X"
D013774,Tetranitromethane
D059605,Dental Implant-Abutment Design
D015742,Propofol
D058013,Test Taking Skills
D010601,"Pharmacology, Clinical"
D056490,Nucleosome Assembly Protein 1
D015342,DNA Probes
D008680,Metaraminol
D012844,Sincalide
D020719,Glucuronides
D008706,Methemoglobin
D060485,Pedobacter
D019844,"Antibodies, Archaeal"
D012008,Recurrence
D050556,Fatty Acid-Binding Proteins
D055805,Moving and Lifting Patients
D000074586,Remyelination
D000074707,Campylobacterales
D000071058,Huntingtin Protein
D044862,Campylobacter hyointestinalis
D003185,Complement C8
D055627,Natural Cytotoxicity Triggering Receptor 1
D006921,Hygromycin B
D001802,Blood Substitutes
D053577,Interleukin-1 Receptor Accessory Protein
D001948,Brenner Tumor
D011448,Prostaglandin Antagonists
D000079602,Sino-Nasal Outcome Test
D017752,Greenhouse Effect
D009448,Neurochemistry
D000080305,Pork Meat
D006558,Herpes Genitalis
D015004,Yellow Fever
D000068882,Paliperidone Palmitate
D012862,Skatole
D013797,Thebaine
D003852,Deoxyribonucleoproteins
D031057,Arisaema
D003263,"Contact Lenses, Hydrophilic"
D000095223,White
D006246,Harmaline
D055963,"Asthma, Aspirin-Induced"
D014108,Tosylphenylalanyl Chloromethyl Ketone
D026882,"Manipulation, Chiropractic"
D018996,Myelin P2 Protein
D011048,Polarography
D014607,Uveomeningoencephalitic Syndrome
D018604,Epitope Mapping
D008035,Lingual Frenum
D053421,Hand-Arm Vibration Syndrome
D058848,"Receptors, Purinergic P2X4"
D020305,Strigiformes
D000072676,Ankyloglossia
D011152,Popliteal Vein
D051037,Large-Conductance Calcium-Activated Potassium Channel alpha Subunits
D018034,Olfactory Receptor Neurons
D060066,Protein Interaction Maps
D054992,Immunological Synapses
D020924,Urological Manifestations
D053821,Cardiovascular Infections
D044139,"Receptor, Angiotensin, Type 2"
D000077287,Levetiracetam
D056968,Lac Repressors
D062745,Junctional Adhesion Molecule A
D011292,Premedication
D054804,Cathelicidins
D020428,Femoral Neuropathy
D014735,Vibrio Infections
D016639,Scleroplasty
D017079,Exercise Tolerance
D017637,Clonal Deletion
D000074085,"Mice, Knockout, ApoE"
D045728,Corrinoids
D012304,"Riot Control Agents, Chemical"
D045851,Megasphaera
D012118,Resorcinols
D002884,"Chromosomes, Human, Pair 15"
D004790,Enzyme Induction
D000676,Amrinone
D015119,Aminocaproic Acid
D060405,Florigen
D003130,Combat Disorders
D007559,Ivermectin
D061485,Tobacco Use Cessation Devices
D065207,Middle East Respiratory Syndrome Coronavirus
D012094,"Repression, Psychology"
D017300,Pipecuronium
D006251,Harvey murine sarcoma virus
D056265,Microbial Interactions
D000078502,Meat Proteins
D032982,Contracts
D052617,Solid Phase Microextraction
D003622,Dapsone
D002019,Bufexamac
D009152,Mutagenicity Tests
D019231,"Tooth Preparation, Prosthodontic"
D051122,"Scavenger Receptors, Class B"
D017325,Hepatitis B Vaccines
D016793,Babesia bovis
D005883,Gingival Crevicular Fluid
D051196,Toll-Like Receptor 3
D004855,Equilenin
D000090324,"Tumor Protein, Translationally-Controlled 1"
D019371,"Topography, Medical"
D055585,Physical Phenomena
D012700,Serositis
D012393,Rosacea
D005094,Exophthalmos
D005490,Focal Infection
D000075862,Science in the Arts
D011771,Pyruvate Oxidase
D018775,Bone Demineralization Technique
D008659,Metabolic Diseases
D004521,Educational Measurement
D058409,Cardiac Resynchronization Therapy Devices
D036801,Parturition
D019818,Clavulanic Acid
D000074284,Periphyton
D013756,Tetraethyl Lead
D057075,Enzyme Assays
D020225,Sagittal Sinus Thrombosis
D009810,Odontoma
D050807,ets-Domain Protein Elk-1
D012661,Semen
D036382,Ephrin-A1
D017924,Nucleopolyhedroviruses
D014906,Wetting Agents
D055101,Semen Analysis
D007987,Gonadotropin-Releasing Hormone
D018589,Gastroparesis
D053486,Melanocortins
D006293,Health Promotion
D008702,Methaqualone
D018192,Lymphangioleiomyomatosis
D029064,Araceae
D013172,"Spores, Fungal"
D007117,"Immunization, Secondary"
D020826,rab3A GTP-Binding Protein
D001229,"Aspergillosis, Allergic Bronchopulmonary"
D004490,Xenarthra
D018777,Multiple Chemical Sensitivity
D018712,"Analgesics, Non-Narcotic"
D000088522,Overdiagnosis
D026681,Vitamin B 6 Deficiency
D056907,Cercozoa
D014131,Trace Elements
D015538,Nitrosation
D011525,Prototheca
D055685,Pyricularia grisea
D056890,Eukaryota
D051379,Mice
D005879,Tourette Syndrome
D020195,"Epilepsy, Reflex"
D061226,Recurrent Laryngeal Nerve Injuries
D062048,Narrow Band Imaging
D004393,"Dwarfism, Pituitary"
D013436,Sulfhemoglobinemia
D001299,Audiometry
D004439,Eccrine Glands
D014651,Vasa Vasorum
D031336,Hedeoma
D062306,"Geography, Medical"
D000097402,Centrosomal Associated Proteins
D007773,Lactates
D002097,C-Reactive Protein
D060739,Phonons
D015322,"Gene Rearrangement, B-Lymphocyte"
D018532,Pisum sativum
D000675,Ampyrone
D019368,Nature
D008524,Medrogestone
D013780,Tetroses
D006760,Hospitalization
D053574,"Receptors, Interleukin-1 Type II"
D008026,Ligation
D015600,Glasgow Coma Scale
D011928,Raynaud Disease
D003742,"Dental Devices, Home Care"
D018234,"Sarcoma, Alveolar Soft Part"
D018714,"Radiotherapy, Adjuvant"
D002787,Sterol Esterase
D040542,"Mechanotransduction, Cellular"
D004095,Dihydropyridines
D023921,Coronary Stenosis
D003912,Dextrins
D018138,Alphaherpesvirinae
D004352,"Drug Resistance, Microbial"
D003369,Cottonseed Oil
D014440,Tyrocidine
D000077239,Meloxicam
D018761,Multiple Endocrine Neoplasia Type 1
D005798,"Genes, Bacterial"
D000273,Adipose Tissue
D049919,Erigeron
D000082802,"Warburg Effect, Oncologic"
D003811,Dentinogenesis Imperfecta
D010010,Osteoclasts
D017191,Ascaridida Infections
D051298,Post-Traumatic Headache
D000068876,Fingolimod Hydrochloride
D019443,Cosmic Dust
D019928,Breast Implantation
D011917,"Rats, Inbred Lew"
D016862,"Tuberculoma, Intracranial"
D007595,Joint Prosthesis
D064168,Minichromosome Maintenance Complex Component 7
D018696,Neuroprotective Agents
D064568,S100 Calcium Binding Protein beta Subunit
D008679,Metaplasia
D004045,Dietary Services
D016044,"Fusion Proteins, bcr-abl"
D005249,Fees and Charges
D010063,Ovum
D059806,HLA-DR beta-Chains
D010281,Parathyroid Hormone
D054503,Lymphoid Progenitor Cells
D013012,Sorbitol
D052286,"Viviparity, Nonmammalian"
D013379,Substrate Specificity
D013299,Streptodornase and Streptokinase
D000093702,Immunonutrition Diet
D015354,"Vision, Low"
D014743,Videotape Recording
D000076985,Saporins
D017446,Impromidine
D000079322,Weight Prejudice
D010718,Phosphatidylserines
D016736,Antiphospholipid Syndrome
D000106,Acetate-CoA Ligase
D005992,Glycerol-3-Phosphate O-Acyltransferase
D001819,Bluetongue
D011006,Pneumatosis Cystoides Intestinalis
D005926,Glossalgia
D029801,Vaccinium vitis-idaea
D017533,Marital Status
D020445,Hospitalists
D031290,Butea
D015933,Complement C3d
D059647,Gene-Environment Interaction
D015999,Multivariate Analysis
D010250,Paramphistomatidae
D034062,"Insomnia, Fatal Familial"
D002305,Cardiac Tamponade
D016524,Parental Leave
D007049,Iatrogenic Disease
D011420,Propiolactone
D048271,Chitosan
D000077428,GATA2 Deficiency
D018073,Haemophilus Vaccines
D000401,Aircraft
D016682,Lupus Coagulation Inhibitor
D055422,Venous Valves
D000094703,Cost-Effectiveness Analysis
D006914,Hydroxysteroids
D008705,Methemalbumin
D000093002,Partial Weight-Bearing
D000092482,Elbow Fractures
D000074748,Holometabola
D015478,"Antigens, Heterophile"
D010720,Phosphines
D045586,Intranuclear Inclusion Bodies
D036561,Cajanus
D000096262,"Medicine, Thai Traditional"
D051519,Fibroblast Growth Factor 4
D000081942,Heteroplasmy
D000074264,Smoking Reduction
D011039,Poison Control Centers
D031673,Pandanaceae
D011284,Pregnenolone
D019836,Preimplantation Diagnosis
D018210,Chondromatosis
D017027,Protein Tyrosine Phosphatases
D007463,Iodobenzoates
D005834,"Genital Neoplasms, Male"
D004263,DNA Tumor Viruses
D009007,Monotremata
D012785,Shoulder Joint
D013985,Tick Paralysis
D008595,Menorrhagia
D005676,Gravity Suits
D000096826,Cavernous Sinus Syndromes
D002887,"Chromosomes, Human, Pair 18"
D059333,Central Nervous System Sensitization
D017758,"Infectious Disease Transmission, Patient-to-Professional"
D011653,Pulmonary Diffusing Capacity
D058068,Endophenotypes
D020904,Glia Maturation Factor
D008640,Mesenteric Lymphadenitis
D005543,Forearm Injuries
D009050,"Fluorosis, Dental"
D011174,Portugal
D000097825,Elastin-Like Polypeptides
D010390,"Pemphigoid, Benign Mucous Membrane"
D042502,Taylorella
D020347,Lithiasis
D064131,Back Muscles
D015142,Baltimore
D013685,Telecommunications
D007945,"Leukemia, Lymphoid"
D014868,Water Deprivation
D046151,Lingual Thyroid
D046589,CADASIL
D010514,Periodontal Pocket
D016949,Azospirillum
D000405,Akinetic Mutism
D014038,Toilet Facilities
D008971,Moles
D044135,Haemophilus parainfluenzae
D016731,Erythema Infectiosum
D006601,Hexoses
D003531,Cypriniformes
D065843,Cerebral Crus
D001362,Avoidance Learning
D003777,Dental Prophylaxis
D011177,Postal Service
D014580,Ursodeoxycholic Acid
D012418,Ruminants
D000030,"Abortion, Missed"
D008779,Methylthiouracil
D065837,Middle Cerebellar Peduncle
D003487,Cyanoacrylates
D005683,Gagging
D020086,Short Interspersed Nucleotide Elements
D012405,"Round Window, Ear"
D054351,Electrical Synapses
D000080362,Stargardt Disease
D064412,Levalbuterol
D006861,Hydrogen Peroxide
D008994,Monoacylglycerol Lipases
D010799,Phycoerythrin
D015097,3-Mercaptopropionic Acid
D037282,Calreticulin
D003150,Community Health Workers
D007919,Leptospira
D012633,Secretin
D014344,Trypanocidal Agents
D001652,Bile Ducts
D009269,Nalorphine
D003514,Cyclohexylamines
D003891,Desipramine
D033222,Judicial Role
D031405,Convallaria
D019829,Nevirapine
D065827,Abducens Nucleus
D016530,Orthopedic Nursing
D001791,Blood Platelet Disorders
D015615,"Cystic Adenomatoid Malformation of Lung, Congenital"
D000612,4-Aminobutyrate Transaminase
D054426,Chemokine CXCL2
D038982,Integrin alpha2beta1
D047010,Clostridium kluyveri
D014368,Tryptophanase
D051520,Antiperspirants
D020865,"Calcium Channels, P-Type"
D024764,Hirudin Therapy
D000090402,Digit Ratios
D041343,Leptospira interrogans serovar hebdomadis
D056152,Respiratory Rate
D012583,Schwann Cells
D000077784,Axitinib
D004748,Entamoeba histolytica
D010994,Pleura
D014668,Vasotocin
D009160,Mycobacteriophages
D014780,Viruses
D000080104,Fertility Clinics
D012795,Sialoglycoproteins
D003672,Defecation
D051521,Fibroblast Growth Factor 5
D030015,"Enterovirus C, Human"
D005222,Mental Fatigue
D046912,Multiprotein Complexes
D058805,GABA Uptake Inhibitors
D049931,Sesbania
D001661,Biliary Tract Neoplasms
D035341,Telomeric Repeat Binding Protein 2
D008257,Machiavellianism
D029023,Acorus
D004777,Environment
D064148,Minichromosome Maintenance Complex Component 4
D008563,Membrane Lipids
D038062,"Upper Extremity Deformities, Congenital"
D005954,Glucosephosphate Dehydrogenase
D000086562,American Indians or Alaska Natives
D014927,Wolff-Parkinson-White Syndrome
D015427,Reperfusion Injury
D006935,Hypercapnia
D019147,Vomeronasal Organ
D064691,"Nurses, Community Health"
D011067,Poly dA-dT
D009040,Motion Pictures
D014443,Tyrosine
D064529,"Receptor, Metabotropic Glutamate 5"
D005127,Eye Color
D017299,Rod Opsins
D011483,Proteidae
D013321,Strongyloides
D014526,Urethritis
D012890,Sleep
D000077554,Levobupivacaine
D018788,Radioactive Hazard Release
D024483,Vitamin K 3
D008801,Mexiletine
D004054,Diethylstilbestrol
D040201,Platelet Membrane Glycoprotein IIb
D001006,"Anus, Imperforate"
D044206,Pseudomonas fragi
D007985,Leydig Cells
D001393,Azoles
D009211,Myoglobin
D000075082,Proof of Concept Study
D035941,Iron Regulatory Protein 1
D008846,Micromanipulation
D008266,Macula Lutea
D004281,Docosahexaenoic Acids
D000094853,South Asian People
D002729,Chloromercuribenzoates
D006926,Hymenolepis
D003301,Copper Radioisotopes
D055553,Prescription Drugs
D031563,Lagerstroemia
D001161,Arteriosclerosis
D064569,alpha7 Nicotinic Acetylcholine Receptor
D005553,Forensic Dentistry
D060909,"Economics, Behavioral"
D013041,"Specialties, Nursing"
D012992,Solanine
D031219,Isatis
D061986,MCF-7 Cells
D012295,Rift Valley Fever
D009781,Occultism
D003284,Contract Services
D011860,"Radiography, Abdominal"
D025101,Vitamin B 6
D008073,Lipoprotein-X
D050682,Q-SNARE Proteins
D003407,Creosote
D008581,Meningitis
D009424,Nervous System Physiological Phenomena
D010713,Phosphatidylcholines
D005299,Fertility Agents
D014918,Wills
D062826,Zonula Occludens-1 Protein
D012017,Referral and Consultation
D062408,Breakfast
D032406,Valerianella
D004189,Disaster Planning
D011057,Politics
D020542,Third Ventricle
D002654,Child Care
D005224,"Fats, Unsaturated"
D002215,Captan
D011627,Puberty
D012948,"Social Work Department, Hospital"
D010642,Phenoxyacetates
D000033,"Abortion, Threatened"
D012871,Skin Diseases
D007621,Karyotyping
D025521,Tumor Suppressor Proteins
D008105,"Liver Cirrhosis, Biliary"
D009783,"Dermatitis, Occupational"
D000077338,Latanoprost
D055868,Floods
D017400,Brachyspira
D006966,Hyperprolactinemia
D058045,Artificial Cells
D007717,Knee
D014814,Vitamin U
D000072659,Hypophysitis
D045166,Estradiol Congeners
D000071161,Forkhead Box Protein O1
D000072224,Bcl-2-Like Protein 11
D010787,Photosensitivity Disorders
D020157,"Amino Acid Transport Disorders, Inborn"
D028321,Plant Preparations
D062557,NAV1.6 Voltage-Gated Sodium Channel
D017490,"Ichthyosis, Lamellar"
D051721,Rad52 DNA Repair and Recombination Protein
D000069999,Lactobacillus johnsonii
D054370,Chemokine CXCL9
D024601,Glyceraldehyde 3-Phosphate Dehydrogenase (NADP+)
D009326,Naval Medicine
D000074606,Smoking Prevention
D001445,Bahrain
D057193,Medical Tourism
D007513,Isethionic Acid
D022423,Myeloid Cells
D041181,Staphylococcus hominis
D013400,Sugar Acids
D000078582,Shellfish Proteins
D017222,"Angioplasty, Balloon, Laser-Assisted"
D000156,Aconitic Acid
D006568,"Herpesvirus 1, Cercopithecine"
D003078,Colchicine
D000094462,Wildlife Trade
D000079702,Pomegranate
D015218,"Hyperostosis, Sternocostoclavicular"
D016941,Myxococcus xanthus
D010159,Palate
D001360,Avidin
D012804,Sick Sinus Syndrome
D055471,Thermal Diffusion
D007865,Leeches
D011510,Proteolipids
D017310,Annexin A7
D006709,Homoarginine
D000096982,Urea Transporters
D001306,Auditory Pathways
D045585,Flap Endonucleases
